region,total
GREAT SOUTHERN REGION,695
GREATER SOUTHWEST REGION,754
NORTHWEST REGION,573
CHICAGO REGION,720
PACIFIC SIERRA REGION,545
SOUTHERN CALIFORNIA REGION,771
BALTIMORE-WASHINGTON REGION,670
PHILADELPHIA REGION,525
MIDWEST REGION,710
OHIO REGION,694
PITTSBURGH REGION,442
HEARTLAND REGION,503
MICHIGAN REGION,519
FLORIDA REGION,868
ROCKY MOUNTAIN REGION,774
INDIANAPOLIS REGION,600
NEW YORK METRO REGION,560
BOSTON REGION,596
RALEIGH REGION,785
ATLANTA REGION,765
HOUSTON REGION,750
HAWAII REGION,74
HOME OFFICE REGION,1
